file_name,emiten_code,year,status,error_message,total_pages,text_pages,image_pages,ocr_pages,direct_extract_pages,total_extracted_chars,ocr_input_tokens,ocr_output_tokens,ocr_estimated_cost_usd,processing_time_seconds,timestamp_processed
ASMI_2022.pdf,ASMI,2022,success,,2,0,2,2,0,9427,2258,2079,0.003683,12.33,2026-03-14T18:03:14.681622
ASPI_2024.pdf,ASPI,2024,success,,1,1,0,0,1,4075,0,0,0.0,0.14,2026-03-14T18:03:14.817720
ASPI_2023.pdf,ASPI,2023,success,,1,0,1,1,0,3613,1129,754,0.00141325,4.83,2026-03-14T18:03:16.992835
ASPI_2022.pdf,ASPI,2022,success,,1,0,1,1,0,3985,1129,815,0.00150475,5.95,2026-03-14T18:03:17.264735
ASMI_2023.pdf,ASMI,2023,success,,2,0,2,2,0,9872,2258,2063,0.003659,11.77,2026-03-14T18:03:17.904995
ASRM_2022.pdf,ASRM,2022,success,,2,2,0,0,2,481,0,0,0.0,0.07,2026-03-14T18:03:17.977165
ASRI_2022.pdf,ASRI,2022,success,,1,0,1,1,0,4502,1129,846,0.00155125,6.24,2026-03-14T18:03:21.056849
ASRI_2024.pdf,ASRI,2024,success,,2,0,2,2,0,5112,2258,1100,0.0022145,8.25,2026-03-14T18:03:25.515662
ASSA_2023.pdf,ASSA,2023,success,,2,2,0,0,2,6494,0,0,0.0,0.04,2026-03-14T18:03:25.555780
ASSA_2024.pdf,ASSA,2024,success,,2,2,0,0,2,6488,0,0,0.0,0.03,2026-03-14T18:03:25.582406
ATIC_2022.pdf,ATIC,2022,success,,4,4,0,0,4,13199,0,0,0.0,0.09,2026-03-14T18:03:25.668510
ATIC_2023.pdf,ATIC,2023,success,,4,4,0,0,4,12844,0,0,0.0,0.04,2026-03-14T18:03:25.706681
ASRI_2023.pdf,ASRI,2023,success,,2,0,2,2,0,9374,2258,1962,0.0035075,12.7,2026-03-14T18:03:29.696176
ASRM_2023.pdf,ASRM,2023,success,,2,0,2,2,0,9669,2258,2004,0.0035705,13.87,2026-03-14T18:03:31.850097
ASSA_2022.pdf,ASSA,2022,success,,2,0,2,2,0,6554,2258,1533,0.002864,11.66,2026-03-14T18:03:32.716683
ATLA_2023.pdf,ATLA,2023,success,,2,0,2,2,0,8504,2258,1806,0.0032735,12.7,2026-03-14T18:03:42.395073
ATLA_2024.pdf,ATLA,2024,success,,2,0,2,2,0,8081,2258,1731,0.003161,12.23,2026-03-14T18:03:44.077144
AUTO_2024.pdf,AUTO,2024,success,,4,4,0,0,4,1090,0,0,0.0,0.13,2026-03-14T18:03:44.212056
ATIC_2024.pdf,ATIC,2024,success,,80,73,7,7,73,167061,7819,91,0.00209125,26.12,2026-03-14T18:03:51.823482
AUTO_2022.pdf,AUTO,2022,success,,4,0,4,4,0,16126,4516,3387,0.0062095,21.63,2026-03-14T18:03:54.343136
AVIA_2024.pdf,AVIA,2024,success,,2,2,0,0,2,9360,0,0,0.0,0.05,2026-03-14T18:03:54.398768
